"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Egr1",1.36332013620178e-159,6.62480027815082,0.936,0.026,2.57558440131239e-155
"App",8.83698329571602e-156,5.51180336871669,0.988,0.1,1.66948288422667e-151
"Meg3",4.23756968381521e-147,5.78439265705141,1,0.185,8.0056166466637e-143
"Foxp1",1.48783768623724e-143,5.34441249306312,0.908,0.053,2.8108229568394e-139
"Mef2c",5.95952403274709e-140,4.48470380482638,0.992,0.204,1.12587328026658e-135
"Basp1",1.45806829449511e-134,4.89558578411741,0.888,0.059,2.75458262196016e-130
"Zbtb18",2.71966602221154e-128,4.58747662336032,0.884,0.065,5.13799304916205e-124
"Ppp3ca",5.10951759543475e-128,4.21735210138032,1,0.389,9.65290064129533e-124
"Prkcb",3.68462252554631e-125,4.76477718704847,0.848,0.059,6.96098887526209e-121
"Satb1",4.20665917319291e-120,4.18711016742351,0.856,0.062,7.94722050999605e-116
"Tbr1",4.27987495935762e-95,7.38826031472056,0.592,0.005,8.08553977321842e-91
"Bcl11a",8.28768340843902e-92,6.13347491948334,0.588,0.008,1.5657091495223e-87
"Cbx6",9.14360308532704e-87,3.23923643626783,0.784,0.11,1.72740949487998e-82
"Pak1",2.40146171879234e-82,3.16630762412575,0.752,0.1,4.53684147914248e-78
"Cux1",2.94553318776617e-82,3.15684200893835,0.744,0.094,5.56470129832785e-78
"Satb2",1.64985608110818e-81,10.078644523493,0.504,0,3.11690810842957e-77
"Apbb1",1.59894489635665e-79,3.25416126639113,0.724,0.091,3.02072669819698e-75
"Nfix",1.12218875434809e-78,2.79090456278453,0.84,0.177,2.12003899471442e-74
"Gnas",4.75960984967643e-75,2.29373873516143,0.908,0.308,8.99185492800871e-71
"Prdx1",1.91208689608323e-74,-3.23493037230605,0.372,0.872,3.61231456408043e-70
"Trim37",3.17039391973025e-73,3.40715505991208,0.62,0.053,5.98950819315438e-69
"Plk2",5.16433488203163e-70,4.36848909738982,0.532,0.029,9.75646145913415e-66
"Id2",1.3958523567933e-64,-2.19617118856718,0.712,0.931,2.63704427245391e-60
"Atxn1",3.10065673032e-63,3.26857932911347,0.568,0.054,5.85776069492055e-59
"Tspyl4",3.71578262601554e-61,2.9970858657873,0.596,0.07,7.01985653706856e-57
"Nap1l1",1.86722738350707e-60,2.65582324822197,0.66,0.104,3.52756597292157e-56
"Chd3",2.62229156474582e-56,2.75484526045053,0.616,0.093,4.9540332241178e-52
"Spin1",2.34528764032527e-55,3.16777320428999,0.508,0.048,4.4307174101025e-51
"Nucks1",5.35642843711477e-55,2.30045264396178,0.74,0.172,1.01193646033972e-50
"Camta2",1.14426335312472e-52,2.74654220703012,0.556,0.073,2.16174232672323e-48
"Nfe2l1",5.99174823180533e-51,2.8800708256469,0.512,0.061,1.13196107595266e-46
"Nap1l5",5.41091499401737e-50,1.95131127567902,0.748,0.198,1.02223006066976e-45
"Hmgn3",2.57060238358185e-49,-1.85049117485659,0.64,0.864,4.85638202306282e-45
"Morf4l2",3.87643104215093e-49,1.95339520910235,0.724,0.179,7.32335352483154e-45
"Ctbp1",1.08182616795422e-48,2.27304025514131,0.596,0.102,2.04378599649911e-44
"Zbtb7a",5.22943313251806e-46,2.14598493692058,0.672,0.163,9.87944507395312e-42
"Klhdc3",7.81676017070839e-45,2.3032720965325,0.552,0.096,1.47674233145023e-40
"Banp",4.98435373484082e-43,2.25353116754748,0.552,0.099,9.41644107586127e-39
"Smarcd1",1.14234737406534e-41,1.96365588668769,0.632,0.145,2.15812265908423e-37
"Atrn",1.72466881776313e-41,2.32075478406318,0.512,0.085,3.25824433051811e-37
"Zmynd8",2.12365576091684e-41,1.95302233229056,0.624,0.147,4.01201046352409e-37
"Plcb1",3.33114045540388e-39,1.67570610834082,0.736,0.252,6.293190548349e-35
"Glyr1",4.92218650574592e-39,2.1269508080089,0.58,0.132,9.2989947466552e-35
"Set",5.86597344437088e-39,1.99907037398246,0.596,0.137,1.10819970311055e-34
"Maged1",4.4627335770561e-38,2.16792260001941,0.544,0.115,8.43099627377439e-34
"Thra",1.56812834364862e-30,1.48920520208984,0.656,0.217,2.96250806682097e-26
"Xist",4.21676045112313e-30,-1.96468626309496,0.348,0.692,7.96630384426181e-26
"Zeb2",1.43619650695411e-29,1.48038545817678,0.656,0.222,2.71326244093771e-25
"Rtf1",4.695593734589e-29,1.48939995333333,0.644,0.214,8.87091568338554e-25
"Smarca2",3.12822265208897e-27,1.54376245601819,0.548,0.156,5.90983823432649e-23
"Hdgf",1.97968595460923e-26,1.4929626343607,0.568,0.174,3.74002270544777e-22
"Msl1",3.08331836666771e-26,1.56558133101129,0.504,0.137,5.82500505830863e-22
"Hmgb1",9.72510534954117e-26,1.12869369260818,0.772,0.344,1.83726690263532e-21
"Cbx3",9.34648808835601e-25,1.53243954069849,0.552,0.174,1.76573852965222e-20
"Sbno1",2.32637136510858e-23,1.13117347486324,0.592,0.198,4.39498078296313e-19
"Gsk3b",2.59703651220712e-22,1.09914173014592,0.788,0.421,4.9063213788617e-18
"Hnrnpu",1.22124479693903e-21,1.21914266124331,0.612,0.226,2.30717567037721e-17
"Dnmt3a",1.36241719619409e-21,1.37165439615574,0.568,0.199,2.57387856704987e-17
"Sfpq",1.70973778458808e-21,1.29841405040194,0.596,0.215,3.23003662264379e-17
"Gatad2b",7.05022220320343e-20,1.19617998954719,0.536,0.188,1.33192797862919e-15
